1187.905042, 5.975421, 948.227696, 233.701924: ns per cell total, react, vel_step, dens_step
1178.432457, 6.001266, 938.666668, 233.764524: ns per cell total, react, vel_step, dens_step
1181.384605, 6.001990, 943.347694, 232.034921: ns per cell total, react, vel_step, dens_step
1177.796728, 5.928042, 940.094806, 231.773880: ns per cell total, react, vel_step, dens_step
1176.297304, 5.952685, 936.993169, 233.351450: ns per cell total, react, vel_step, dens_step
1174.863434, 5.907014, 936.439894, 232.516526: ns per cell total, react, vel_step, dens_step
1179.490035, 5.892795, 941.208402, 232.388839: ns per cell total, react, vel_step, dens_step
1175.760633, 5.945571, 936.447095, 233.367967: ns per cell total, react, vel_step, dens_step
1173.496982, 5.882724, 934.894789, 232.719469: ns per cell total, react, vel_step, dens_step
1173.389168, 5.854198, 935.570382, 231.964587: ns per cell total, react, vel_step, dens_step
1178.608534, 5.853064, 939.423114, 233.332356: ns per cell total, react, vel_step, dens_step
1175.394822, 5.862325, 937.113961, 232.418536: ns per cell total, react, vel_step, dens_step
1173.103342, 5.820554, 934.029577, 233.253211: ns per cell total, react, vel_step, dens_step
1173.272190, 5.925372, 934.611080, 232.735738: ns per cell total, react, vel_step, dens_step
1176.150552, 5.800221, 934.306028, 236.044302: ns per cell total, react, vel_step, dens_step
1172.545872, 5.846246, 934.856489, 231.843137: ns per cell total, react, vel_step, dens_step
1173.490219, 5.790904, 934.773520, 232.925796: ns per cell total, react, vel_step, dens_step
1171.305055, 5.776399, 933.255927, 232.272729: ns per cell total, react, vel_step, dens_step
1173.607512, 5.734218, 934.103096, 233.770198: ns per cell total, react, vel_step, dens_step
1175.693265, 5.724843, 936.859187, 233.109235: ns per cell total, react, vel_step, dens_step
1172.051783, 5.741857, 933.954046, 232.355880: ns per cell total, react, vel_step, dens_step
1172.322291, 5.684387, 934.257582, 232.380322: ns per cell total, react, vel_step, dens_step
1176.203196, 5.694249, 935.256546, 235.252400: ns per cell total, react, vel_step, dens_step
1179.830563, 5.661022, 941.109563, 233.059978: ns per cell total, react, vel_step, dens_step
1174.733048, 5.671007, 936.202849, 232.859191: ns per cell total, react, vel_step, dens_step
1173.985177, 5.740102, 935.288313, 232.956762: ns per cell total, react, vel_step, dens_step
1176.108657, 5.642921, 933.386820, 237.078916: ns per cell total, react, vel_step, dens_step
1176.368562, 5.708926, 937.693433, 232.966203: ns per cell total, react, vel_step, dens_step
1174.005366, 5.585206, 936.180877, 232.239284: ns per cell total, react, vel_step, dens_step
1171.161183, 5.559055, 933.104589, 232.497539: ns per cell total, react, vel_step, dens_step
1172.477864, 5.580875, 934.701965, 232.195024: ns per cell total, react, vel_step, dens_step
1175.277148, 5.571750, 936.138009, 233.567389: ns per cell total, react, vel_step, dens_step
1172.245808, 5.639861, 934.419582, 232.186364: ns per cell total, react, vel_step, dens_step
1171.293630, 5.490343, 933.275269, 232.528018: ns per cell total, react, vel_step, dens_step
