-O0                   ,23231450497,32.627374000
-O1                   ,23096875579,28.232777
-O2                   ,23096865331,27.575828
-O3                   ,23096863283,27.568558
-Ofast                ,23029772819,21.133072
-O0-native            ,23231450513,35.031889
-O1-native            ,23096875579,28.771081
-O2-native            ,23096865331,28.107779
-O3-native            ,23096863283,28.067136
-Ofast-native         ,23029772806,19.341808
-O3-native-blocking   ,23096863323,32.351705000
-Ofast-native-blocking,23029772806,19.459737000
