Base,1372319485952,185.577699927,1.000,7.394851248247091
Base con pragma 8 threads,1458218926081,46.386441920,7.995,31.436317719645434
Base con pragma 16 threads,1458219040769,33.078269311,15.987,44.08389771118034
Base con pragma 32 threads,1458219270145,27.003572565,31.935,54.000975857358746
Base con pragma y scheduler static 4 threads,1458218868737,73.007246283,3.997,19.973618277348336
Base con pragma y scheduler static 8 threads,1458218926081,46.202822451,7.992,31.56125207778164
Base con pragma y scheduler static 16 threads,1458219040769,32.080159747,15.988,45.45547940749785
Base con pragma y scheduler static 32 threads,1458219270145,27.452375670,31.951,53.118144953063
Base con pragma w collapse 4 threads,1456960577537,81.561589084,3.997,17.8633176952509
Base con pragma w collapse 8 threads,1456960634881,48.303652574,7.987,30.16253548629625
Base con pragma w collapse 16 threads,1456960749569,34.182353610,15.987,42.62318406134469
Base con pragma w collapse 32 threads,1456960978945,26.558492394,31.947,54.85857244194145
solver_rb_intrinsics_pragma_onepragma-8,1503495890377,66.722658541,7.997,22.533512951273156
solver_rb_intrinsics_pragma_onepragma-16,1555240634657,51.171035390,15.994,30.392987415707633
solver_rb_intrinsics_pragma_onepragma-32,1658730124669,50.043982956,31.963,33.14544579969583
