-O0                   , 371562318725,531.591310000
-O1                   , 344710862710,428.690669000
-O2                   , 344710862710,428.074864000
-O3                   , 366185699190,485.047422000
-Ofast                , 374238777001,379.800486000
-O0-native            , 371562162255,521.789434000
-O1-native            , 344710862720,414.074862000
-O2-native            , 344710861784,311.731344000
-O3-native            , 366185698656,363.083508000
-Ofast-native         , 363501378226,250.601720000
-O3-native-blocking   , 366185698656,398.036617000
-Ofast-native-blocking, 363501378478,286.076922000

