solver_rb_intrinsics,368333593599,35.864059187,0,0
solver_rb_intrinsics_pragma-4,368385653594,18.707319263,0,0
solver_rb_intrinsics_pragma-8,368438139684,13.004287380,0,0
solver_rb_intrinsics_pragma-16,368543111945,9.974120170,0,0
solver_rb_intrinsics_pragma-32,368753056530,10.850195990,0,0
solver_rb_intrinsics_pragma2-4,368385653595,18.303764525,3.997,20.126223383820548
solver_rb_intrinsics_pragma2-8,368438139684,12.228749219,7.996,30.128849082255435
solver_rb_intrinsics_pragma2-16,368543111945,9.583589793,15.990,38.45564343897414
solver_rb_intrinsics_pragma2-32,368753056530,10.682033271,31.981,34.5208676264944
solver_rb_intrinsics_pragma_w_collapse-8,367913846464,15.141402296,7.997,24.298531884407705
solver_rb_intrinsics_pragma_w_collapse-16,368123676344,14.624640557,14.719,25.17146831125362
