Linsolve w/ intrinsics and sndbnd default,342026550663,76.880481000
Linsolve w/ intrinsics and sndbnd mixed,316722303616,71.755741000
Linsolve w/ intrinsics and sndbnd intrinsics,316722303616,71.574457000
Linsolve w/ intrinsics and setbnd Autovectorized,316722303616,72.871713000
Linsolve Autovectorized 1 (GROUP_SIZE 8),363501387422,49.331502000
Linsolve Autovectorized 1 (GROUP_SIZE 16),363501387422,109.670464000
"Linsolve and advect w/ intrisics, setbnd  mixed",347323949761,79.817086000
"Base (wo any upgrade -Ofast, -march=native on icx)",363501367792,194.598391000
Linsolve Autovectorized 2 (GROUP_SIZE 8),363501393011,49.383084000
solver_rb,363501360127,36.033084000
solver_rb_auto,363061878967,100.056979000
solver_rb_intrinsics,342026517494,34.681209000
