-O0                   ,23231450489	32.134370000
-O1                   ,21452712457	19.181654000
-O2                   ,22056692224	19.096795000
-O3                   ,22056704512	18.977133000
-Ofast                ,22056704512	18.982709000
-O0-native            ,23231449993	32.706704000
-O1-native            ,21452712444	18.041700000
-O2-native            ,22727784904	11.910915000
-O3-native            ,22727797192	11.690488000
-Ofast-native         ,22727797192	11.748753000
-O3-native-blocking   ,22727797192	11.312412000
-Ofast-native-blocking,22727797192	11.315693000
