-O0                   ,371562318725,529.386335000
-O1                   ,343100257974,344.852794
-O2                   ,352763934390,345.277331
-O3                   ,352763946615,342.56652
-Ofast                ,352763946678,346.860874
-O0-native            ,371562048716,539.446995
-O1-native            ,343100257850,331.778853
-O2-native            ,363501355684,216.79513
-O3-native            ,363501367972,217.315471
-Ofast-native         ,363501367972,217.326205
-O3-native-blocking   ,363501367972,207.370337
-Ofast-native-blocking,363501367972,206.709474
