Base,1393794380664,177.895589856,1.000,7.8349012574860675
Base con pragma 8 threads,1453924048413,37.984412292,7.996,38.27686044570485
Base con pragma 16 threads,1453924140188,26.216168850,15.980,55.459062249211904
Base con pragma 32 threads,1453924435100,22.134331178,31.919,65.68639564520028
Base con pragma y scheduler static 4 threads,1453923919004,65.433896492,3.998,22.219736206321716
Base con pragma y scheduler static 8 threads,1453923992732,38.905087983,7.994,37.37105011476411
Base con pragma y scheduler static 16 threads,1453924140188,26.367427227,15.979,55.140917908714094
Base con pragma y scheduler static 32 threads,1453924435100,23.836792426,31.872,60.99496983973946
Base con pragma w collapse 4 threads,1452665628083,74.637386769,3.998,19.462975473390397
Base con pragma w collapse 8 threads,1452665701811,43.411267968,7.996,33.462871964067304
Base con pragma w collapse 16 threads,1452665849267,27.873270797,15.981,52.116806091639255
Base con pragma w collapse 32 threads,1452666144179,23.158521309,31.837,62.72706814033314
